"","status","tempo_empresa","moradia","tempo_emprestimo","idade","estado_civil","registros","trabalho","despesas","renda","ativos","dividas","valor_emprestimo","preco_do_bem"
"188","ruim",13,"outras",60,31,"casada(o)","não","fixo",60,105,0,0,1200,1423
"189","bom",4,"alugada",12,33,"casada(o)","não","fixo",78,183,0,0,600,1600
"190","ruim",9,"alugada",24,30,"solteira(o)","sim","fixo",46,113,0,0,700,700
"191","bom",1,"própria",24,27,"casada(o)","não","fixo",45,126,3000,3700,200,300
"192","bom",4,"própria",36,48,"casada(o)","não","autônomo",120,300,5000,0,1000,1165
"193","bom",2,"própria",60,33,"casada(o)","não","fixo",75,160,6000,0,1000,1365
"194","bom",2,"própria",12,44,"casada(o)","não","fixo",90,160,7500,0,500,1706
"195","ruim",0,"outras",36,48,"casada(o)","sim","autônomo",45,NA,0,0,1600,2053
"196","bom",21,"própria",60,57,"casada(o)","não","autônomo",60,95,8000,0,1000,1700
"197","bom",12,"própria",60,34,"casada(o)","sim","fixo",75,125,5500,4000,950,1462
"198","bom",9,"alugada",60,38,"casada(o)","não","fixo",87,120,0,0,1177,1300
"199","bom",2,"alugada",36,35,"casada(o)","não","fixo",126,359,0,0,870,1122
"200","bom",24,"própria",60,52,"casada(o)","não","fixo",45,80,4000,0,1200,1257
"201","bom",1,"pais",60,28,"solteira(o)","não","meio período",35,67,0,0,1050,1387
"202","bom",15,"própria",48,46,"casada(o)","não","fixo",90,148,12000,0,1000,1266
"203","bom",19,"própria",60,56,"casada(o)","sim","fixo",45,298,8000,0,1700,2195
"204","bom",10,"própria",24,52,"casada(o)","não","fixo",75,318,4500,700,700,2004
"205","bom",19,"própria",60,35,"casada(o)","não","fixo",75,185,4000,0,1100,1203
"206","bom",10,"própria",36,45,"casada(o)","sim","autônomo",60,NA,9500,250,750,1138
"207","bom",4,"pais",48,29,"casada(o)","não","fixo",45,194,0,0,1200,1374
"208","ruim",1,"pais",60,22,"solteira(o)","não","fixo",35,80,3000,0,1500,1514
"209","bom",2,"própria",24,33,"casada(o)","sim","fixo",75,147,2000,900,400,750
"210","bom",5,"própria",24,41,"casada(o)","não","autônomo",105,156,10000,0,800,1894
"211","bom",11,"própria",36,37,"casada(o)","não","fixo",75,178,3000,0,1000,1048
"212","bom",23,"própria",24,46,"casada(o)","não","fixo",75,130,4000,0,400,1369
"213","ruim",4,"outras",36,19,"solteira(o)","não","meio período",35,63,0,0,1000,1035
"214","ruim",5,"pais",36,22,"solteira(o)","não","fixo",35,88,0,0,750,1218
"215","bom",15,"pais",60,31,"casada(o)","não","fixo",45,140,0,0,1200,1637
"216","ruim",1,"priv",60,44,"casada(o)","não","meio período",45,115,2000,0,750,953
"217","bom",9,"própria",60,48,"casada(o)","sim","fixo",60,83,2500,0,1100,1212
"218","bom",4,"priv",36,31,"casada(o)","não","fixo",60,144,3000,0,1000,1218
"219","bom",20,"própria",24,53,"casada(o)","não","autônomo",45,200,100000,0,1000,1419
"220","bom",10,"outras",60,36,"casada(o)","não","fixo",90,172,3000,0,1100,1100
"221","bom",2,"priv",60,46,"casada(o)","não","autônomo",105,200,4000,500,900,987
"222","bom",15,"própria",60,37,"casada(o)","não","fixo",60,318,7000,0,1900,2400
"223","bom",8,"própria",60,34,"casada(o)","não","fixo",60,177,6300,4000,1370,1375
"224","bom",4,"própria",48,36,"casada(o)","não","fixo",60,133,4000,0,1000,1595
"225","bom",4,"própria",60,64,"solteira(o)","não","outros",35,150,9000,0,984,1054
"226","bom",1,"própria",36,27,"solteira(o)","não","fixo",35,208,9000,0,1000,1651
"227","bom",10,"própria",30,26,"casada(o)","não","fixo",75,145,1434,0,300,1542
"228","bom",32,"própria",60,53,"casada(o)","não","fixo",60,157,5000,0,2000,2014
"229","bom",12,"própria",60,50,"casada(o)","não","fixo",45,190,9500,200,1800,2624
"230","ruim",0,"pais",60,21,"solteira(o)","não","meio período",35,86,0,0,1000,1135
"231","bom",20,"pais",24,40,"solteira(o)","não","fixo",35,90,0,0,600,1105
"232","bom",6,"alugada",60,49,"casada(o)","sim","meio período",100,100,30000,0,1500,1500
"233","ruim",4,"alugada",24,40,"casada(o)","sim","fixo",56,214,0,0,800,1200
"234","bom",1,"alugada",60,37,"solteira(o)","não","fixo",45,100,0,0,1150,1555
"235","bom",2,"alugada",48,25,"casada(o)","não","fixo",57,117,0,0,800,2251
"236","bom",25,"própria",18,40,"casada(o)","não","fixo",45,110,4000,0,455,1542
"237","bom",1,"alugada",36,22,"casada(o)","não","fixo",62,168,0,0,1200,2186
"238","bom",10,"própria",48,49,"casada(o)","não","autônomo",45,150,9000,0,1700,1700
"239","bom",2,"própria",60,34,"casada(o)","não","fixo",45,166,7000,0,600,1180
"240","bom",3,NA,24,42,"solteira(o)","não","fixo",35,337,NA,NA,1300,1624
"241","ruim",13,"alugada",24,49,"casada(o)","não","autônomo",90,NA,0,0,700,800
"242","ruim",10,"alugada",60,43,"casada(o)","não","autônomo",90,NA,0,0,1350,1668
"243","bom",20,"própria",36,42,"casada(o)","não","autônomo",90,250,4500,0,1500,1750
"244","bom",10,"própria",48,28,"casada(o)","sim","meio período",60,120,2500,1500,600,875
"245","bom",1,"própria",60,30,"casada(o)","não","autônomo",35,236,3500,1000,1000,1514
"246","ruim",1,"própria",60,25,"separada(o)","sim","meio período",45,277,6000,3500,1700,1950
"247","ruim",0,"pais",60,22,"solteira(o)","não","meio período",35,55,0,0,950,1462
"248","bom",5,"pais",36,27,"solteira(o)","não","fixo",35,200,4000,0,600,1098
"249","bom",3,"pais",60,26,"solteira(o)","não","fixo",45,235,0,0,800,840
"250","ruim",0,"própria",48,28,"casada(o)","não","fixo",45,80,1500,0,1260,1634
"251","bom",6,"própria",48,35,"casada(o)","não","autônomo",45,200,7000,0,1540,1603
"252","bom",21,"priv",60,51,"casada(o)","não","fixo",45,140,3000,0,1200,1200
"253","bom",5,"alugada",60,24,"casada(o)","não","fixo",73,125,0,0,700,1360
"254","bom",12,"alugada",60,34,"casada(o)","não","fixo",94,185,0,0,1200,1236
"255","bom",13,"própria",42,34,"casada(o)","não","fixo",105,190,2500,300,1100,1395
"256","bom",10,"própria",60,49,"casada(o)","não","autônomo",60,150,23000,0,1200,1390
"257","bom",6,"própria",60,28,"casada(o)","não","fixo",60,102,5000,0,700,1355
"258","bom",18,"alugada",60,57,"casada(o)","não","fixo",77,170,4000,0,1300,1604
"259","bom",15,"própria",60,63,"casada(o)","não","fixo",60,315,3500,266,1000,1241
"260","ruim",0,"alugada",12,37,"casada(o)","não","outros",88,130,0,0,250,375
"261","bom",2,"própria",36,27,"casada(o)","não","fixo",45,156,6000,0,700,1045
"262","bom",18,"alugada",60,39,"casada(o)","não","fixo",93,177,0,0,800,1781
"263","bom",12,"própria",36,64,"solteira(o)","sim","autônomo",60,341,4500,0,900,900
"264","bom",25,"própria",48,49,"casada(o)","não","autônomo",105,240,12000,4200,1660,1698
"265","bom",8,"própria",12,49,"casada(o)","não","autônomo",60,142,6000,0,200,1048
"266","bom",20,"própria",36,45,"casada(o)","não","autônomo",75,333,5000,0,1000,2200
"267","bom",3,"pais",60,27,"solteira(o)","não","fixo",35,125,5000,0,770,1119
"268","bom",2,"pais",36,30,"casada(o)","não","fixo",45,170,0,0,700,1090
"269","ruim",2,"própria",36,33,"casada(o)","não","autônomo",75,220,16000,500,3000,4100
"270","bom",15,"própria",36,40,"casada(o)","não","fixo",60,230,8500,480,700,1400
"271","bom",3,"própria",60,30,"separada(o)","não","fixo",60,157,15000,0,1000,2010
"272","bom",4,"pais",12,30,"casada(o)","não","fixo",60,340,16000,0,1900,2014
"273","bom",3,"própria",60,25,"casada(o)","não","meio período",60,120,3500,200,1000,1342
"274","bom",9,"alugada",60,40,"solteira(o)","não","fixo",44,91,0,0,1000,1132
"275","ruim",4,"priv",42,50,"casada(o)","não","autônomo",60,150,7000,0,900,1048
"276","bom",2,"própria",36,23,"solteira(o)","não","fixo",35,88,5500,0,750,1218
"277","bom",1,"outras",48,28,"solteira(o)","não","meio período",35,120,0,0,900,1114
"278","ruim",2,"alugada",60,35,"casada(o)","sim","autônomo",75,NA,0,0,1000,1206
"279","bom",2,"alugada",60,27,"casada(o)","não","fixo",56,106,0,0,650,2132
"280","bom",2,"pais",36,19,"casada(o)","não","fixo",35,162,4000,100,400,570
"281","bom",3,"pais",60,39,"casada(o)","não","fixo",45,77,0,0,1000,1094
"282","bom",8,"priv",36,39,"casada(o)","não","fixo",75,128,2500,0,550,550
"283","bom",10,"própria",48,55,"viúva(o)","não","fixo",35,189,9000,0,1200,1255
"284","bom",10,"própria",36,32,"casada(o)","não","autônomo",60,300,40000,3000,2000,4138
"285","bom",5,"própria",60,54,"casada(o)","não","autônomo",60,92,6000,1700,1700,1714
"286","bom",20,"própria",48,58,"casada(o)","não","autônomo",60,380,35000,0,1100,1150
"287","bom",5,"própria",24,37,"casada(o)","não","autônomo",75,500,14000,0,1500,2673
"288","bom",20,"pais",60,36,"casada(o)","não","autônomo",60,130,0,0,1200,1630
"289","bom",12,"própria",60,28,"casada(o)","não","fixo",45,141,6000,400,1100,1544
"290","bom",13,"própria",60,38,"casada(o)","não","fixo",75,220,6500,3600,1000,1195
"291","bom",11,"própria",36,26,"casada(o)","não","fixo",60,146,5000,1300,400,1206
"292","bom",17,"própria",60,41,"casada(o)","não","autônomo",75,250,13500,3700,1400,2050
"293","bom",6,"própria",36,42,"casada(o)","não","fixo",60,132,6000,0,1200,1513
"294","bom",22,"própria",6,46,"casada(o)","não","autônomo",90,150,75000,0,3000,3300
"295","bom",25,"alugada",60,52,"casada(o)","não","fixo",73,127,0,0,1030,1250
"296","ruim",8,"própria",60,30,"casada(o)","não","meio período",60,90,3000,500,1000,1339
"297","ruim",19,"própria",60,47,"casada(o)","sim","autônomo",90,166,12500,1000,875,875
"298","bom",3,"própria",18,66,"casada(o)","não","outros",45,69,12000,0,500,1101
"299","bom",35,"própria",60,54,"casada(o)","não","fixo",45,182,4000,0,1000,1568
"300","bom",0,"própria",42,65,"casada(o)","não","outros",45,77,4000,2000,750,1194
"301","ruim",7,"outras",60,25,"casada(o)","não","fixo",45,50,0,0,950,1378
"302","bom",3,"própria",60,31,"solteira(o)","não","fixo",35,131,4000,0,1050,1139
"303","bom",1,"pais",24,23,"solteira(o)","não","fixo",35,62,0,0,350,350
"304","ruim",5,"própria",60,35,"casada(o)","não","fixo",75,60,3000,400,1150,1406
"305","bom",2,"própria",60,47,"casada(o)","não","fixo",90,86,4500,0,1200,1497
"306","ruim",13,"alugada",36,28,"casada(o)","não","fixo",59,143,0,0,1400,1600
"307","ruim",27,"alugada",60,50,"casada(o)","sim","fixo",87,120,0,0,1300,1350
"308","ruim",3,"outras",60,25,"solteira(o)","não","fixo",35,283,0,0,2000,2032
"309","bom",0,"própria",36,39,"casada(o)","não","fixo",60,138,3000,0,1400,2610
"310","bom",1,"priv",12,46,"casada(o)","não","outros",90,90,2000,600,500,1193
"311","ruim",1,"alugada",60,36,"casada(o)","sim","fixo",85,99,0,0,1200,1275
"312","ruim",10,"própria",36,39,"casada(o)","sim","autônomo",75,160,15000,0,3250,3750
"313","bom",1,"própria",60,25,"casada(o)","não","meio período",60,330,9000,3500,1300,2500
